LoanID,AccountNumber,LoanAmount,LoanStartDate,LoanType,InterestRate,LoanTerm,MonthlyRepaymentAmount
71677219,6361214886,23202,2022-12-14,Auto,2.36,30,949
39822902,1947501703,38825,2022-08-15,Personal,5.0,15,200
12733247,8015287053,39650,2022-07-09,Mortgage,7.29,25,477
79390933,9980982143,34365,2010-03-31,Personal,9.73,20,1200
51192124,3775818817,20228,2019-08-23,Mortgage,8.61,20,1299
57191479,1096863971,25365,2019-06-09,Auto,7.51,10,1768
80150920,8500071593,33966,2013-11-21,Personal,8.07,15,639
41498365,5535519031,13893,2011-04-23,Auto,1.99,10,1391
70730449,8100590312,24667,2016-09-07,Mortgage,9.91,15,204
75513566,7740492044,24907,2015-12-02,Mortgage,6.79,10,1443
6369487,2116477575,16544,2019-03-29,Personal,5.89,20,512
4840262,8448734810,10932,2010-07-30,Auto,8.26,20,1225
30145770,8752119143,18240,2016-08-05,Auto,2.91,15,1819
23042637,9023723083,43119,2010-04-02,Auto,3.67,30,1159
56443804,913749034,40732,2018-03-24,Auto,6.31,25,1606
53081798,9609539971,26947,2015-01-16,Mortgage,6.24,30,1444
6787828,5539779796,10192,2016-09-19,Personal,2.11,15,1918
72224779,4591394310,22355,2018-09-05,Mortgage,4.67,15,1771
86370874,3126811291,49699,2013-12-13,Mortgage,8.88,25,1121
84528150,8437676467,31370,2014-08-09,Auto,7.03,10,608
24469852,5343792652,47239,2019-12-30,Auto,1.84,20,852
17287779,1781951436,11215,2020-12-17,Personal,7.92,20,1297
27430710,7247660943,30771,2016-01-16,Auto,3.9,10,1560
68053651,1801889405,22294,2022-02-26,Personal,6.85,30,1701
69515883,4105761407,34938,2011-11-12,Mortgage,5.92,25,903
40838786,1507585697,23802,2015-04-11,Mortgage,2.86,20,1695
9671493,9552440249,16821,2020-11-07,Auto,4.86,25,1169
50764792,8190758777,19683,2022-01-08,Mortgage,8.78,30,2000
7318944,5520670436,42210,2012-05-17,Personal,6.21,15,716
76370585,294849962,45701,2014-01-30,Personal,5.85,30,1369
14458061,3993458446,14787,2022-05-10,Auto,2.36,15,1891
34414310,8622121345,38115,2011-06-10,Personal,8.82,15,1681
30153958,1544226433,21385,2018-10-05,Auto,7.37,25,1487
56583974,8720000293,17356,2016-12-22,Personal,5.61,15,837
19578439,5287163351,10419,2011-07-08,Mortgage,8.12,30,924
30856962,8124954452,47138,2016-08-21,Personal,2.21,20,616
57599770,4612060895,17194,2017-06-08,Mortgage,3.29,30,1300
35942922,177293906,48187,2010-04-20,Mortgage,4.79,10,1127
13269623,7471001511,18051,2016-09-10,Auto,9.48,30,1097
66129766,1246349769,34574,2018-08-01,Mortgage,1.53,10,448
92160520,1478670401,40867,2013-02-02,Auto,7.24,30,951
97113802,9484682499,39224,2014-07-03,Mortgage,6.03,30,1554
21866703,3976702203,15825,2018-06-18,Auto,3.7,30,895
42177125,8946041444,11961,2010-06-25,Mortgage,6.13,25,1138
8175548,9816527409,25230,2011-03-08,Personal,6.57,25,1965
26806851,2580530951,30257,2010-03-24,Personal,8.05,30,1806
89790808,3871613723,32358,2022-03-13,Mortgage,6.35,15,1044
93031751,6936947465,44821,2021-12-06,Auto,2.46,25,1710
37799751,9218142273,26076,2010-07-18,Auto,5.44,15,1651
28085953,8939102815,18047,2017-07-26,Auto,4.52,15,1977
16864931,4385886897,28595,2012-12-22,Auto,8.95,10,404
67074242,823077581,31722,2019-07-02,Personal,1.93,25,1466
57134585,9114189940,28582,2017-06-12,Auto,5.35,30,948
39237872,3669780922,16360,2015-06-25,Personal,3.69,20,327
21634141,1719733662,25318,2019-03-10,Mortgage,8.86,25,445
39311541,6880095679,31772,2013-10-13,Mortgage,2.42,25,344
46856431,6354247819,15340,2016-03-05,Mortgage,9.11,25,1231
75206731,1570316915,13643,2015-05-14,Auto,4.08,30,1082
25045921,1541163571,33729,2010-06-24,Personal,7.11,20,258
8144696,1819571646,29578,2017-01-27,Auto,5.41,25,1529
12100910,5532502629,43549,2018-12-10,Auto,2.07,30,242
36957663,6258810677,23039,2014-09-13,Personal,5.92,25,1017
2653301,4039167518,31805,2015-05-07,Auto,2.82,15,1850
37625325,9440465740,6999,2021-12-28,Auto,9.09,10,1132
77026004,4012656139,15147,2020-10-29,Personal,6.46,20,1027
1007289,7122285089,47353,2010-11-27,Mortgage,5.86,20,1416
40783633,5215551909,14195,2014-02-03,Auto,5.46,30,999
9674458,2935665934,15278,2016-10-17,Personal,1.83,15,832
85247338,4956270470,29641,2017-03-18,Personal,3.88,30,1034
27936687,5255380233,16410,2012-11-27,Mortgage,9.06,20,753
40308721,1923706484,7407,2014-04-18,Personal,2.45,30,230
53661086,71759010,48893,2016-11-10,Personal,2.33,25,1700
11272586,6825401949,48061,2014-04-15,Mortgage,6.64,25,1674
44632320,5687171893,5818,2022-05-05,Personal,2.0,25,591
84792342,1015041209,20089,2017-11-27,Mortgage,4.66,25,690
22544190,4208992805,49380,2014-07-08,Auto,5.77,30,1701
48794556,584282029,43752,2010-09-09,Auto,7.44,25,712
68750935,9559851116,18510,2020-10-09,Auto,2.34,10,1865
24507195,5219492229,13053,2013-04-11,Auto,2.76,15,773
58945643,1080235472,29786,2016-05-03,Personal,3.38,15,416
24509174,3436568093,29037,2011-02-24,Personal,5.96,25,1337
53029711,5174333517,5704,2010-06-24,Auto,3.98,10,712
78351504,3115584692,36040,2019-09-16,Mortgage,4.06,20,1848
99091963,1841824365,27412,2013-04-29,Mortgage,7.06,30,1710
1541034,9565018128,23106,2022-02-15,Mortgage,3.43,25,1995
1393295,2561152579,26076,2010-08-19,Personal,4.93,25,220
43493543,679266306,33483,2022-07-19,Mortgage,7.3,10,416
81747857,5866115104,26292,2011-04-10,Auto,8.02,20,1387
14266676,8394033539,45535,2010-03-25,Auto,9.27,15,1037
69763086,7262992485,16183,2015-10-14,Mortgage,2.91,20,665
57657735,9475821727,6910,2015-11-10,Personal,9.52,15,1490
80478530,441420037,8419,2018-12-06,Mortgage,1.88,10,948
46374501,98228340,5875,2021-06-09,Mortgage,1.93,10,1843
62499414,2773146271,42863,2019-08-22,Personal,5.58,20,432
50123005,7237813346,16683,2018-12-13,Personal,5.68,25,1690
14247780,7802798256,42303,2020-03-12,Personal,3.11,25,525
74274466,7102279331,36226,2012-05-07,Mortgage,2.14,30,940
80577419,9400518200,18699,2020-02-09,Personal,2.47,25,1251
90958080,6809451445,16616,2019-03-02,Mortgage,5.41,25,871
81674804,9379072102,8967,2021-03-29,Personal,2.52,30,1197
32729686,4527109463,23076,2010-03-25,Personal,7.25,25,1883
58123208,7440879312,6442,2013-01-15,Mortgage,6.69,30,861
54635936,8514908139,48807,2010-09-11,Personal,5.08,25,701
36386637,3973518386,6152,2021-04-23,Auto,4.99,10,1578
57115162,8806728285,20148,2012-06-07,Personal,5.86,15,424
52830758,9974191342,44389,2014-09-12,Mortgage,7.38,10,462
29849756,302452399,24212,2020-02-25,Personal,7.67,20,1573
8508871,8983519492,22941,2020-01-13,Auto,8.79,10,1241
42354299,5117344570,10252,2017-02-17,Personal,3.27,20,661
26269878,8006022978,32096,2017-08-26,Auto,7.51,20,689
67436167,4561462885,20310,2018-07-15,Personal,2.82,10,826
87230756,7826359956,15770,2013-12-18,Mortgage,3.92,30,444
76831755,7265732903,41752,2019-12-31,Mortgage,7.78,15,1414
19665379,4589972793,44435,2011-03-22,Mortgage,2.14,10,488
228716,8349897199,32729,2011-01-26,Personal,9.67,25,1820
59607404,9051038717,10882,2010-09-20,Mortgage,4.48,25,349
15744749,2625333655,47148,2016-04-27,Personal,5.65,25,1635
55244612,8926056558,27016,2019-02-15,Auto,2.81,10,1615
74871529,2065931398,32456,2015-09-06,Mortgage,2.34,10,483
24257675,2270298757,7126,2017-12-05,Auto,6.45,20,593
38251196,3026623445,9745,2022-12-31,Mortgage,9.04,30,1699
82296896,5945125475,6790,2016-12-24,Auto,3.95,10,1508
22012490,3694468519,20434,2010-08-05,Mortgage,3.58,30,559
30382682,5328934535,13962,2022-05-26,Mortgage,2.26,20,1155
9385572,9010853532,37576,2013-03-25,Mortgage,5.28,15,1249
84068940,82299633,33207,2017-06-25,Personal,1.54,10,239
57514223,8868494018,39510,2018-04-11,Personal,5.45,20,444
76945293,2311013564,15713,2010-02-26,Auto,2.16,10,428
44795600,3406723402,18815,2018-10-13,Personal,6.24,25,620
65141379,6382162969,6583,2018-05-11,Auto,3.31,25,1103
67733916,249352579,17310,2018-11-18,Personal,6.04,10,975
83546288,935741611,15107,2015-07-14,Mortgage,4.17,15,282
90201799,639777408,37913,2016-12-10,Mortgage,7.11,20,513
89661283,6033676158,14659,2014-07-21,Mortgage,9.72,25,1948
38543903,4122409264,25110,2019-07-29,Personal,7.34,25,1247
9606574,8873693335,43985,2010-09-20,Auto,9.88,20,721
64270786,9502582792,27351,2018-05-05,Auto,5.48,15,677
79154308,1880085971,10676,2016-09-04,Mortgage,4.62,15,554
74100048,271445691,22831,2011-12-25,Mortgage,9.19,20,256
31047553,3825828986,12599,2021-10-29,Personal,1.85,25,1251
54107809,5095989258,8778,2015-10-07,Mortgage,8.38,20,633
18400886,4855974326,37281,2015-09-01,Auto,8.12,10,1119
63586870,8623565431,32503,2010-09-15,Auto,9.83,15,206
57374895,4785920605,9769,2013-05-29,Auto,7.48,15,1311
97175414,1405681335,45626,2018-03-28,Mortgage,8.74,10,792
11960259,9416319816,24019,2011-09-05,Auto,6.18,25,656
24156330,5188509732,5442,2011-01-03,Auto,2.78,25,1084
82836464,7275879096,34326,2021-11-19,Auto,9.0,15,1734
23211500,5411381909,20216,2016-04-27,Auto,4.25,10,1835
29844038,7044189341,36123,2014-11-10,Mortgage,6.36,15,422
16546551,5825634926,31918,2021-10-07,Personal,9.91,25,767
47470042,7337376344,10193,2010-04-22,Auto,9.38,10,1259
37780430,5506388886,12950,2020-08-21,Auto,5.76,30,1706
16665180,9488694726,43136,2011-05-17,Mortgage,4.08,25,1317
74305806,1191667762,41657,2022-10-19,Mortgage,8.19,30,1631
33709074,8787535144,16430,2014-02-02,Auto,3.01,30,1188
4154574,3499022682,12403,2017-09-15,Personal,6.47,15,752
14109208,7249432130,45963,2015-05-07,Personal,4.48,20,1554
75847795,6821893898,12216,2010-01-14,Personal,1.7,30,1649
69943915,6571917598,27663,2016-07-14,Auto,8.36,15,1867
16195227,7486848470,25718,2015-07-10,Personal,3.14,10,1438
16663700,8450572739,42231,2018-09-11,Mortgage,5.54,30,1224
4453325,4490536878,37167,2011-08-30,Mortgage,6.34,15,871
59403905,9884231115,7475,2018-03-28,Mortgage,5.01,10,1579
78902849,6322146492,46435,2014-12-13,Personal,7.4,20,917
39878564,1698812411,15018,2013-12-16,Auto,8.6,20,1726
3185148,5583164122,11042,2022-02-28,Auto,4.48,20,649
85922087,6283453136,49748,2021-11-18,Mortgage,8.96,30,605
78387414,7274094627,30829,2021-02-10,Mortgage,7.48,30,238
9911082,3186995577,24899,2014-09-04,Auto,3.5,30,1732
33941462,260906832,20731,2015-01-24,Auto,2.64,30,1156
89736437,3791207574,37586,2018-02-21,Mortgage,6.44,10,1422
96500036,9058859688,24427,2022-09-19,Mortgage,4.03,20,287
98785839,5131275523,6856,2020-06-07,Personal,3.19,10,1988
42450266,9294166029,18269,2017-01-25,Personal,8.26,25,950
19982296,99021933,26258,2022-03-14,Personal,1.84,25,1557
66240881,4300756663,6945,2019-11-27,Auto,9.2,15,1801
50244857,6068138740,15688,2015-05-11,Mortgage,4.74,10,1928
20464543,2071812660,15132,2011-03-31,Mortgage,1.52,25,1339
64797706,6627851865,19217,2017-07-01,Mortgage,8.07,15,1854
84616058,4827672631,41737,2011-01-16,Mortgage,3.66,20,1650
88254232,327972473,24118,2019-07-23,Mortgage,5.61,20,344
34799063,6688547578,33985,2011-10-12,Auto,7.3,30,922
19768653,6040374099,14452,2015-05-01,Personal,2.15,20,1480
67977640,6431449070,45387,2014-04-30,Auto,8.08,25,1768
41518322,5006315367,46963,2016-06-16,Auto,2.0,15,1242
94993110,7362464580,36829,2016-12-18,Personal,6.66,30,1818
12775998,4984136496,17818,2015-06-17,Personal,8.37,30,460
34890736,7231696952,16821,2021-07-29,Personal,10.0,15,1038
94081706,1729732904,34863,2017-04-10,Personal,9.49,30,1258
14089598,798145715,10170,2019-08-29,Auto,6.94,15,1028
31456993,2254640769,43109,2018-06-13,Mortgage,5.38,10,1488
12913766,6491031077,29391,2020-08-21,Mortgage,9.58,10,1416
54652483,4962795597,39495,2015-03-07,Auto,4.61,25,1365
73857636,8749914380,18859,2011-12-06,Auto,9.03,10,1902
30924344,1973214860,19066,2011-09-03,Mortgage,9.98,15,385
84721350,8118736063,34479,2022-08-01,Mortgage,2.65,10,276
49226655,1570214038,15478,2017-10-18,Personal,2.5,10,818
16046201,4476228965,24375,2021-08-19,Mortgage,2.6,20,1017
53393892,9459407604,40576,2017-03-28,Auto,1.7,20,220
55666071,2553955088,18383,2019-11-21,Mortgage,2.89,20,540
70452576,8628885528,28130,2020-09-27,Auto,6.28,30,1001
99121821,4464124338,12281,2020-10-28,Mortgage,8.34,20,592
6973958,5646366672,48384,2010-01-04,Auto,2.33,10,705
79956777,1000325737,26018,2013-02-13,Mortgage,9.23,15,966
78100115,4707790951,34666,2010-01-24,Auto,1.98,25,1260
94877874,6398324538,41961,2011-01-09,Personal,3.9,25,693
73895800,671787765,19107,2017-08-03,Auto,5.21,25,1839
45766179,7077296436,34656,2013-09-01,Mortgage,6.81,20,1669
63068382,2932208188,16068,2012-01-25,Auto,9.89,10,1756
90700027,9435615886,15477,2019-05-16,Mortgage,3.67,20,287
63431737,7097137793,49704,2016-02-15,Auto,1.72,10,1568
44930560,6905323537,20357,2017-09-07,Mortgage,5.24,20,677
1974521,8854005798,23651,2012-07-24,Personal,8.26,15,1733
55072808,9962676664,35173,2011-06-15,Personal,8.51,15,836
87347248,2166479879,5723,2011-08-20,Auto,8.57,15,495
29122299,3161341983,38709,2011-06-02,Auto,2.0,15,890
75407008,8656611922,35722,2011-10-06,Personal,7.06,20,616
33316503,9027436469,43757,2017-04-18,Personal,7.61,25,850
73237479,392673513,31445,2013-01-13,Mortgage,5.02,20,1902
46268262,1716317465,29883,2017-01-12,Auto,2.08,15,480
14103909,7997431779,46894,2017-06-25,Mortgage,2.9,15,863
95455783,4631775667,22108,2022-04-19,Auto,9.17,30,732
72401309,9113848016,17718,2016-07-03,Auto,2.02,30,1807
67998137,1445437335,16554,2016-02-03,Mortgage,3.8,15,1192
5728040,3443337923,26734,2018-10-09,Personal,5.63,20,227
39449982,3290773572,10364,2018-09-10,Mortgage,4.1,25,257
79784187,154152711,16748,2019-05-17,Mortgage,4.12,25,1690
64130143,7328591260,21354,2018-09-30,Personal,9.87,20,434
58225992,9852401458,5262,2014-06-07,Mortgage,6.97,20,945
20191787,2290558715,13185,2017-02-15,Auto,3.05,10,1677
57130591,6190682012,7492,2014-12-27,Personal,7.85,15,1896
56656488,7540338601,40989,2021-11-24,Mortgage,4.9,25,596
96677065,5247325133,22288,2015-08-03,Auto,2.87,15,1179
34021841,8481153075,35461,2021-08-24,Personal,2.36,30,1204
95616067,5908036327,45110,2016-06-10,Mortgage,4.52,10,1267
17239517,1052881799,15756,2022-11-10,Auto,5.49,30,841
44394639,7114625770,35611,2014-02-28,Mortgage,1.77,20,1491
80046840,5080934176,10328,2015-10-02,Auto,6.38,30,1493
91008043,2991511811,5451,2021-12-06,Auto,6.28,15,1817
84149220,4416046635,37046,2013-11-25,Auto,2.64,10,1166
57271867,6147019898,16564,2016-07-09,Personal,9.58,20,853
54408515,4462195278,31276,2022-05-10,Personal,5.86,20,1334
8444706,7135166555,27474,2012-11-11,Auto,3.26,25,1334
45324992,8149287305,11887,2020-10-17,Personal,4.97,25,1595
13677065,9744329801,12834,2021-06-29,Mortgage,5.54,20,1074
28013908,7966801508,41855,2011-09-15,Auto,2.26,15,1212
8467814,5899953995,31289,2021-12-21,Personal,9.28,20,1996
6512610,2365596795,24726,2020-12-06,Mortgage,2.96,10,1471
26026018,582179705,41494,2021-06-04,Personal,3.85,20,492
91376764,7650713676,25939,2013-07-13,Mortgage,5.83,10,962
83158004,6426182821,7074,2018-10-28,Auto,5.99,20,455
95063090,4094396700,23946,2010-10-16,Personal,7.15,30,1494
36370081,5175428205,25540,2021-07-20,Mortgage,9.3,20,840
34361581,4218746796,22910,2021-09-07,Personal,6.58,10,555
89766255,9552966152,49513,2020-03-13,Auto,3.01,10,591
58774529,2858294234,7389,2015-02-17,Mortgage,4.92,25,1589
8196184,7873503236,25531,2022-10-03,Mortgage,7.59,10,300
85270444,5877275689,44660,2014-07-12,Auto,2.01,20,1549
52575198,6538287577,6451,2012-05-04,Mortgage,2.98,10,671
97976123,7299342899,20739,2016-09-27,Personal,1.9,30,1380
43317130,6153447769,40794,2020-07-10,Personal,8.96,10,274
54088003,4482190202,21552,2012-07-23,Mortgage,4.88,10,1297
36689833,5497016472,29364,2017-11-27,Mortgage,2.65,25,468
37007249,6004214616,32175,2012-07-21,Personal,2.35,20,1353
15939568,5948731264,32495,2014-07-05,Mortgage,6.14,20,701
19914182,5567071178,47131,2012-03-22,Personal,3.23,15,1444
27457542,2041691709,15960,2011-05-07,Auto,1.72,15,1726
77676978,241643649,32773,2011-02-09,Personal,5.18,20,1739
24377176,2903035250,25217,2019-11-05,Auto,3.91,20,1689
48901442,4618747802,38389,2019-11-13,Personal,2.35,15,563
31438642,9987902167,47030,2015-02-07,Personal,4.92,25,499
7629233,9427712549,40563,2014-12-31,Personal,1.87,30,1549
11469791,1678522459,19997,2017-09-20,Mortgage,7.31,30,991
36402477,8654199239,25415,2016-05-19,Mortgage,2.0,25,212
98213009,685802936,30443,2018-09-05,Mortgage,8.46,15,1775
99264846,2030607637,30069,2016-08-20,Mortgage,7.67,30,1125
649237,6534487657,23402,2022-04-15,Personal,7.45,10,806
43238011,5343635289,13524,2017-10-05,Personal,1.69,10,292
56254186,2421641435,44747,2017-09-22,Mortgage,5.44,10,1119
15729756,6776561034,20463,2022-03-18,Personal,6.46,25,1459
56112737,8704603163,40350,2017-06-07,Mortgage,6.12,10,1289
67641286,8017271872,20561,2017-09-09,Mortgage,1.51,30,1982
2396251,1204322355,20893,2022-05-21,Auto,8.3,10,503
23158358,8970149055,36864,2022-09-03,Auto,2.97,10,1354
73579229,7899461137,10776,2017-05-18,Personal,7.89,20,252
3065700,2429199199,44447,2016-01-22,Personal,6.42,25,1663
79928751,2628963581,33855,2022-10-23,Auto,4.46,10,830
64217547,9832497047,43495,2016-09-17,Mortgage,4.16,30,1304
98945826,3781714645,47810,2013-05-10,Mortgage,4.91,30,1473
45463100,8269108859,48429,2016-08-19,Mortgage,6.7,30,1677
74474033,1473112408,12039,2017-02-22,Auto,4.26,20,402
1588298,241071000,48785,2017-10-14,Mortgage,4.72,20,497
39174531,2836315759,28000,2020-06-29,Auto,5.27,15,547
4207648,6814643670,7639,2018-11-01,Mortgage,6.15,15,1228
570566,5861628942,7097,2011-08-05,Personal,8.92,30,1545
8262232,1821121675,23897,2018-12-01,Mortgage,2.58,15,1492
44364946,6278166712,25836,2022-09-27,Personal,6.9,25,1029
58259232,3415492748,32086,2018-03-20,Mortgage,5.92,15,887
84578565,4312203942,13925,2020-06-23,Mortgage,5.81,25,1645
14821149,9136737003,31591,2011-10-07,Mortgage,4.54,20,441
71747216,6457105602,45842,2016-01-13,Mortgage,6.28,10,574
28821966,369577528,36163,2021-06-26,Mortgage,9.14,10,304
18964249,5693347486,20485,2011-11-16,Personal,7.12,30,510
7328879,8452009131,10361,2014-12-23,Personal,5.39,25,512
59172746,6594517996,37801,2016-07-26,Mortgage,3.71,20,1471
79734859,6973771585,11791,2011-07-14,Auto,9.3,10,925
7373789,705012533,34406,2015-01-20,Auto,3.17,30,1824
77937262,8287342338,39503,2022-03-11,Auto,7.8,15,1289
47625916,4901244754,47314,2012-11-11,Personal,8.08,30,1773
25398287,6611469263,10324,2021-03-07,Personal,9.09,15,1009
71317110,9352676694,6925,2015-04-02,Auto,4.37,25,1209
65076528,6337243126,6828,2015-08-14,Mortgage,6.17,30,280
4672836,7079322092,17547,2021-12-27,Personal,5.28,10,1290
14488993,3497680781,29090,2022-05-05,Personal,8.59,25,1445
23975368,1129623099,16431,2012-01-03,Mortgage,5.23,25,1393
76334165,1814951641,17804,2018-10-27,Personal,4.46,25,1335
6307389,564106946,24262,2019-12-25,Mortgage,5.21,20,402
64272485,1185998008,10250,2019-11-20,Personal,2.56,25,1669
20175847,8805943550,23266,2016-10-02,Auto,3.1,30,1129
55234645,7116200533,10376,2021-12-21,Mortgage,1.6,30,846
88302751,6642571944,14605,2013-09-16,Auto,8.7,20,1998
19460157,1640086916,23154,2014-04-24,Auto,9.55,15,1489
10660460,9054772151,38985,2011-01-11,Personal,9.93,10,1559
85580508,1099691625,46694,2013-04-06,Auto,5.39,10,1692
26186613,4726874968,36692,2014-12-21,Mortgage,7.23,20,489
29307241,5134511421,35602,2012-11-16,Mortgage,6.26,30,1153
38242899,5014969982,27196,2021-04-18,Mortgage,9.54,25,742
